Track #0, length 10
 40522191 (1276) module 38, x 4.4975, y -7.7675, z 312.463
 38429163 (1217) module 36, x 3.6175, y -6.2275, z 250.469
 36333814 (1155) module 34, x 3.2325, y -5.6225, z 225.469

Track #41, length 13
 53299260 (1637) module 50, x 13.0775, y -29.8225, z 739.531
 51198557 (1582) module 48, x 12.3075, y -28.0075, z 694.531
 49097597 (1528) module 46, x 11.4825, y -26.22, z 649.531
 46996894 (1476) module 44, x 10.7125, y -24.405, z 604.531
 44890613 (1410) module 42, x 8.6225, y -19.6475, z 485.982
 42607934 (1343) module 40, x 6.9175, y -15.7425, z 389.411
 40517238 (1278) module 38, x 5.5425, y -12.6625, z 312.463
 38425251 (1218) module 36, x 4.4425, y -10.1875, z 250.469
 36330165 (1156) module 34, x 4.0025, y -9.1975, z 225.469
 34234823 (1097) module 32, x   3.59, y -8.2075, z 200.469
 32139737 (1039) module 30, x   3.15, y -7.2175, z 175.469
 30044651 (967) module 28, x   2.71, y -6.2275, z 150.469
 27949565 (883) module 26, x   2.27, y -5.2375, z 125.469

Track #42, length 9
 53041377 (1640) module 50, x 18.3025, y -6.7775, z 738.469
 50949352 (1586) module 48, x 17.2025, y -6.3925, z 693.469
 48857327 (1531) module 46, x 16.075, y -6.0075, z 648.469
 46765559 (1479) module 44, x 14.9475, y -5.5675, z 603.469
 44042881 (1416) module 42, x 12.0575, y -4.5225, z 485.982
 41949611 (1346) module 40, x   9.72, y -3.6975, z 390.473
 39855565 (1280) module 38, x 7.84083, y -3.01917, z 313.525
 37761258 (1221) module 36, x 6.2825, y -2.4325, z 251.531
 35665141 (1157) module 34, x 5.6775, y -2.2125, z 226.531

Track #43, length 8
 52100110 (1616) module 49, x 4.9075, y 18.3825, z 705.469
 50001445 (1562) module 47, x 4.5775, y 17.1175, z 660.469
 47902780 (1509) module 45, x 4.2475, y 15.825, z 615.469
 45801337 (1456) module 43, x 3.3125, y  12.47, z 496.921
 43700907 (1395) module 41, x 2.5975, y 9.7475, z 401.411
 41600978 (1328) module 39, x 1.9925, y 7.6025, z 324.463
 39501810 (1267) module 37, x 1.5525, y 5.8425, z 262.469
 37403647 (1204) module 35, x 1.3325, y 5.1275, z 237.469

Track #44, length 12
 51570179 (1599) module 49, x -18.9875, y -35.9575, z 706.531
 49461275 (1546) module 47, x -17.6675, y -33.4275, z 661.531
