Track #0, length 12
 37399237 (2313) module 35, x 0.397499, y 8.3175, z 237.469
 35301847 (2151) module 33, x 0.342499, y 7.3275, z 212.469
 33204456 (1986) module 31, x 0.287498, y  6.365, z 187.469
 31107066 (1829) module 29, x 0.232498, y 5.4025, z 162.469

Track #24, length 8
 54185275 (3408) module 51, x 2.3225, y 15.9075, z 750.469
 52086860 (3295) module 49, x 2.08417, y 14.9542, z 705.469
 49988702 (3173) module 47, x 1.8275, y 13.9825, z 660.469
 47890543 (3048) module 45, x 1.6075, y  13.02, z 615.469
 45791645 (2915) module 43, x   1.25, y 10.5175, z 496.921
 43693762 (2770) module 41, x 1.0575, y  8.455, z 401.411
 41595873 (2620) module 39, x 0.892498, y 6.7775, z 324.463
 39498234 (2472) module 37, x 0.782501, y 5.4025, z 262.469

Track #25, length 6
 54195343 (3411) module 51, x 4.4675, y 11.2875, z 750.469
 52096667 (3298) module 49, x 4.1375, y   10.6, z 705.469
 49997992 (3178) module 47, x 3.8075, y 9.9125, z 660.469
 47899316 (3050) module 45, x 3.4775, y  9.225, z 615.469
 45798357 (2917) module 43, x   2.68, y 7.4375, z 496.921
 43698416 (2772) module 41, x 2.0475, y 5.9525, z 401.411

Track #26, length 12
 53847108 (3358) module 51, x -29.3825, y -15.1225, z 750.469
 51754341 (3245) module 49, x -27.5675, y -14.1875, z 705.469
 49661574 (3124) module 47, x -25.7342, y -13.2342, z 660.469
 47569063 (3002) module 45, x -23.91, y -12.2625, z 615.469
 45483007 (2867) module 43, x -19.0975, y -9.7875, z 496.921
 43051591 (2728) module 41, x -15.2475, y -7.825, z 402.473
 40947072 (2581) module 39, x -12.1125, y -6.2025, z 325.525
 38844078 (2435) module 37, x -9.5825, y -4.9375, z 263.531
 36744384 (2276) module 35, x -8.5925, y -4.3875, z 238.531
 34644947 (2117) module 33, x -7.5475, y -3.8925, z 213.531
 32545253 (1957) module 31, x -6.5575, y -3.3425, z 188.531
 30445816 (1810) module 29, x -5.5125, y -2.8475, z 163.531

Track #27, length 12
 53860437 (3360) module 51, x -28.4475, y -12.2625, z 750.469
 51766901 (3247) module 49, x -26.6875, y -11.4925, z 705.469
 49673365 (3126) module 47, x -24.9275, y -10.7225, z 660.469
 47579317 (3004) module 45, x -23.1675, y  -9.98, z 615.469
 45149451 (2868) module 43, x -18.5475, y -7.9625, z 497.982
 43044944 (2730) module 41, x -14.7525, y -6.3675, z 402.473
 40941703 (2586) module 39, x -11.7275, y -5.0475, z 325.525
 38839731 (2438) module 37, x  -9.28, y -4.0025, z 263.531
 36740549 (2279) module 35, x  -8.29, y -3.5625, z 238.531
 34641367 (2120) module 33, x -7.3275, y  -3.15, z 213.531
 32542441 (1960) module 31, x -6.3375, y -2.7375, z 188.531
 30443259 (1812) module 29, x -5.3475, y -2.2975, z 163.531

Track #28, length 11
 53907633 (3365) module 51, x -23.3875, y -2.0325, z 750.469
 51811020 (3251) module 49, x -21.9025, y -1.9225, z 705.469
 49714406 (3130) module 47, x -20.4725, y -1.8125, z 660.469
 47217410 (3008) module 45, x -19.0425, y -1.6925, z 616.531
 45118792 (2875) module 43, x -15.1925, y -1.3625, z 497.982
 43020416 (2737) module 41, x -12.1125, y -1.0875, z 402.473
 40922286 (2593) module 39, x -9.5825, y -0.8675, z 325.525
 38824402 (2445) module 37, x -7.6025, y -0.7025, z 263.531
 36726752 (2288) module 35, x -6.8325, y -0.610834, z 238.531
 34629357 (2129) module 33, x -6.1175, y -0.5375, z 213.531
 32531962 (1969) module 31, x -5.4025, y -0.4825, z 188.531

Track #29, length 11
 53828046 (3367) module 51, x -21.7925, y -19.2475, z 750.469
 51736294 (3253) module 49, x -20.4725, y -18.0925, z 705.469
 49644542 (3133) module 47, x -19.1342, y -16.9008, z 660.469
 47282200 (3010) module 45, x -17.8325, y -15.745, z 616.531
 45170520 (2879) module 43, x -14.3125, y -12.5825, z 497.982
 43061643 (2739) module 41, x -11.5075, y -10.0525, z 402.473
 40955572 (2595) module 39, x -9.2525, y -8.045, z 325.525
 38851285 (2447) module 37, x -7.4375, y -6.4775, z 263.531
 36751074 (2289) module 35, x -6.7225, y -5.8175, z 238.531
 34650864 (2132) module 33, x -5.9525, y -5.1575, z 213.531
 32550909 (1970) module 31, x -5.2375, y -4.5525, z 188.531

Track #30, length 12
 54357597 (3373) module 51, x -15.1675, y 28.0075, z 751.531
 52256123 (3258) module 49, x -14.26, y  26.33, z 706.531
 50154906 (3139) module 47, x -13.3525, y 24.6525, z 661.531
 48053433 (3015) module 45, x -12.4175, y 22.9475, z 616.531
 45739789 (2886) module 43, x -9.9975, y 18.4375, z 496.921
 43651406 (2747) module 41, x -8.0175, y 14.835, z 401.411
 41561475 (2602) module 39, x  -6.45, y 11.9475, z 324.463
 39470510 (2456) module 37, x -5.1575, y 9.5825, z 262.469
 37375679 (2299) module 35, x -4.6625, y 8.6475, z 237.469
 35280848 (2136) module 33, x  -4.14, y  7.685, z 212.469
 33186274 (1974) module 31, x -3.6175, y 6.7225, z 187.469
