Track #0, length 7
 38399627 (666) module 36, x 10.0525, y -11.5075, z 250.469
 36306074 (615) module 34, x 9.2825, y -10.655, z 225.469
 34212010 (567) module 32, x 8.5125, y -9.8025, z 200.469
 32118458 (522) module 30, x 7.7425, y -8.9225, z 175.469
 30024906 (471) module 28, x 6.9725, y -8.0425, z 150.469
 27931098 (424) module 26, x   6.23, y -7.1625, z 125.469
 25837546 (380) module 24, x   5.46, y -6.2825, z 100.469
 23743994 (338) module 22, x 4.7175, y -5.4025, z 75.469

Track #35, length 15
 52286467 (960) module 49, x -20.7775, y  32.93, z 706.531
 50183717 (917) module 47, x -19.5675, y  31.06, z 661.531
 48080968 (874) module 45, x -18.385, y 29.1625, z 616.531
 45969314 (835) module 43, x -15.25, y 24.2125, z 497.982
 43860714 (789) module 41, x -12.7475, y 20.225, z 402.473
 41542184 (743) module 39, x -10.685, y 16.9525, z 324.463
 39452503 (692) module 37, x  -9.09, y 14.3675, z 262.469
 37358186 (645) module 35, x -8.4025, y 13.3225, z 237.469
 35264124 (595) module 33, x -7.7425, y 12.305, z 212.469
 33170063 (549) module 31, x -7.0825, y  11.26, z 187.469
 31076002 (500) module 29, x -6.4225, y 10.215, z 162.469
 28981941 (450) module 27, x -5.7625, y   9.17, z 137.469
 26887880 (408) module 25, x -5.1025, y  8.125, z 112.469
 24793819 (366) module 23, x -4.4425, y   7.08, z 87.469
 22699758 (324) module 21, x -3.7825, y  6.035, z 62.469

Track #36, length 14
 48507119 (907) module 46, x 19.9775, y 36.1325, z 648.469
 46317830 (863) module 44, x 18.8225, y  33.95, z 604.531
 44193345 (818) module 42, x 15.5775, y 28.0375, z 485.982
 42074225 (768) module 40, x 12.9375, y  23.28, z 390.473
 39959447 (717) module 38, x  10.82, y 19.4025, z 313.525
 37847734 (665) module 36, x 9.1425, y 16.295, z 251.531
 35744706 (614) module 34, x  8.455, y  15.03, z 226.531
 33641935 (566) module 32, x 7.7675, y 13.7925, z 201.531
 31538907 (521) module 30, x   7.08, y 12.5275, z 176.531
 29435880 (470) module 28, x 6.3925, y 11.2625, z 151.531
 27333108 (423) module 26, x  5.705, y 10.0525, z 126.531
 24835785 (375) module 23, x  4.605, y 8.0975, z 87.469
 22735583 (334) module 21, x 3.9175, y   6.86, z 62.469
 20635126 (288) module 19, x 3.2025, y 5.6225, z 37.469

Track #37, length 7
 48608315 (910) module 46, x 29.8775, y 14.215, z 648.469
 46513753 (866) module 44, x 28.2275, y 13.665, z 603.469
 44425131 (822) module 42, x 23.7175, y 11.8775, z 484.921
 42335469 (771) module 40, x 20.0875, y 10.2825, z 389.411
 39911205 (720) module 38, x 17.1175, y   8.98, z 313.525
 37809745 (670) module 36, x 14.6975, y 8.0175, z 251.531
 35711074 (620) module 34, x 13.7625, y 7.6875, z 226.531

Track #38, length 13
 48041761 (877) module 45, x -9.9425, y 31.3075, z 616.531
 45937283 (838) module 43, x -8.2375, y 25.9175, z 497.982
 43833810 (792) module 41, x  -6.89, y 21.5725, z 402.473
 41564692 (746) module 39, x -5.7625, y 18.0525, z 324.463
 39471687 (696) module 37, x -4.8825, y 15.2475, z 262.469
 37376092 (649) module 35, x -4.5525, y 14.0925, z 237.469
 35280752 (599) module 33, x -4.1675, y 12.965, z 212.469
 33185157 (552) module 31, x -3.8375, y 11.8375, z 187.469
 31089818 (504) module 29, x -3.4525, y 10.6825, z 162.469
 28994222 (452) module 27, x -3.1225, y 9.5825, z 137.469
 26898883 (410) module 25, x -2.7375, y 8.4275, z 112.469
 24803288 (368) module 23, x  -2.38, y 7.2725, z 87.469
 22707948 (326) module 21, x -2.0225, y 6.1725, z 62.469

Track #39, length 15
 46470685 (867) module 44, x   31.5, y 22.9325, z 603.469
 44390781 (823) module 42, x 26.2475, y 19.2475, z 484.921
 42308036 (773) module 40, x 22.3425, y  16.14, z 389.411
 40222462 (723) module 38, x 19.1525, y 13.665, z 312.463
 37826349 (672) module 36, x 16.6775, y 11.7025, z 251.531
 35725631 (621) module 34, x 15.6875, y 10.9325, z 226.531
 33624657 (572) module 32, x  14.67, y 10.1075, z 201.531
 31523684 (526) module 30, x 13.6525, y 9.2825, z 176.531
 29423223 (475) module 28, x 12.6075, y 8.4575, z 151.531
 27322505 (428) module 26, x  11.59, y 7.6875, z 126.531
 25221533 (386) module 24, x 10.5175, y   6.89, z 101.531
 23121074 (343) module 22, x 9.3625, y 6.1475, z 76.531
 21020614 (300) module 20, x 8.2625, y 5.4325, z 51.531
 18919898 (260) module 18, x 7.1625, y   4.69, z 26.531
 16819437 (218) module 16, x   6.09, y 3.9475, z  1.531

Track #40, length 13
 45991209 (830) module 43, x -19.9525, y 30.8675, z 497.982
 43879045 (785) module 41, x -16.7075, y  25.78, z 402.473
 41769424 (740) module 39, x -14.0125, y 21.6825, z 325.525
 39439631 (686) module 37, x -11.8675, y 18.3275, z 262.469
 37346600 (639) module 35, x -10.9875, y 16.9525, z 237.469
 35253568 (588) module 33, x -10.1075, y 15.6325, z 212.469
 33160536 (542) module 31, x -9.2275, y 14.285, z 187.469
 31066993 (494) module 29, x -8.3475, y 12.9375, z 162.469
 28973962 (445) module 27, x -7.4675, y 11.5625, z 137.469
 26880930 (403) module 25, x -6.5875, y 10.2425, z 112.469
 24787899 (363) module 23, x -5.7075, y 8.8675, z 87.469
 22694867 (322) module 21, x -4.8275, y 7.5475, z 62.469
 20601836 (282) module 19, x -3.9475, y 6.1725, z 37.469

Track #41, length 13
 46036047 (826) module 43, x -29.715, y 28.7775, z 497.982
 43916198 (780) module 41, x -24.82, y 23.9925, z 402.473
 41801196 (732) module 39, x -20.86, y 20.1425, z 325.525
 39412775 (680) module 37, x -17.615, y 17.0075, z 262.469
 37321790 (633) module 35, x -16.3225, y 15.7425, z 237.469
 35230548 (582) module 33, x -15.0575, y 14.505, z 212.469
 33139307 (536) module 31, x -13.7925, y 13.2675, z 187.469
 31048066 (488) module 29, x -12.5275, y 12.0025, z 162.469
 28956824 (440) module 27, x -11.235, y 10.765, z 137.469
 26865839 (397) module 25, x -9.9425, y 9.5275, z 112.469
 24774086 (358) module 23, x -8.6775, y 8.2625, z 87.469
 22683100 (318) module 21, x -7.3575, y  7.025, z 62.469
 20591859 (279) module 19, x -6.0925, y 5.7875, z 37.469

Track #42, length 12
 46000902 (828) module 43, x -22.07, y 32.7925, z 497.982
 43886954 (782) module 41, x -18.4125, y 27.2925, z 402.473
 41776058 (736) module 39, x -15.4425, y 22.8925, z 325.525
 39667963 (684) module 37, x -13.0775, y 19.3175, z 263.531
 37341720 (637) module 35, x -12.0325, y 17.8325, z 237.469
 35248946 (586) module 33, x -11.0975, y 16.375, z 212.469
 33156428 (540) module 31, x -10.1075, y 14.945, z 187.469
 31063911 (492) module 29, x  -9.09, y 13.4875, z 162.469
 26878107 (401) module 25, x -7.1925, y 10.6275, z 112.469
 24785333 (361) module 23, x -6.2575, y 9.1975, z 87.469
 22692814 (321) module 21, x -5.2675, y  7.795, z 62.469
 20600040 (281) module 19, x -4.3325, y 6.3925, z 37.469

Track #43, length 14
 44224113 (817) module 42, x  12.91, y 34.665, z 485.982
 42099355 (767) module 40, x 10.6275, y 28.725, z 390.473
 39980218 (716) module 38, x  8.895, y 23.995, z 313.525
 37866196 (664) module 36, x 7.4925, y 20.2275, z 251.531
 35761886 (612) module 34, x 6.9425, y 18.6875, z 226.531
 33657576 (564) module 32, x 6.3925, y 17.1475, z 201.531
 31553267 (518) module 30, x 5.7875, y 15.6075, z 176.531
 29448957 (468) module 28, x 5.2375, y 14.0675, z 151.531
 29031532 (460) module 27, x 4.9075, y 13.2125, z 137.469
 26931848 (417) module 25, x 4.3575, y 11.6725, z 112.469
 24831908 (374) module 23, x   3.78, y 10.1325, z 87.469
 22732223 (333) module 21, x 3.2025, y   8.62, z 62.469
 20632539 (287) module 19, x 2.6525, y 7.1075, z 37.469
 18532599 (247) module 17, x  2.075, y 5.5675, z 12.469

Track #44, length 15
 44588475 (824) module 42, x 32.2175, y -8.8675, z 484.921
 42514387 (775) module 40, x 27.2675, y  -7.52, z 389.411
