Track #0, length 4
 45752654 (2977) module 43, x -7.1375, y 14.8625, z 496.921
 43661132 (2864) module 41, x -5.9275, y 14.9725, z 401.411
 41568586 (2747) module 39, x -4.9375, y 15.0825, z 324.463
 39475017 (2623) module 37, x -4.1675, y 15.1375, z 262.469
 37379400 (2505) module 35, x -3.8375, y 15.1925, z 237.469
 35283528 (2379) module 33, x -3.535, y 15.1925, z 212.469
 33187911 (2243) module 31, x -3.2325, y 15.2475, z 187.469

Track #30, length 6
 54130611 (3422) module 51, x -9.5575, y 9.3075, z 750.469
 52035773 (3316) module 49, x  -8.98, y 8.7575, z 705.469
 49940935 (3203) module 47, x -8.4575, y 8.2075, z 660.469
 47846352 (3092) module 45, x  -7.88, y  7.685, z 615.469
 45756139 (2983) module 43, x -6.4225, y 6.2275, z 496.921
 42991869 (2868) module 41, x -5.2375, y 5.0725, z 402.473

Track #31, length 5
 53533883 (3426) module 51, x  -8.84, y -7.0275, z 751.531
 51434950 (3318) module 49, x -8.2625, y -6.6425, z 706.531
 49335760 (3204) module 47, x -7.7125, y  -6.23, z 661.531
 47236826 (3094) module 45, x -7.1625, y -5.8175, z 616.531
 45134836 (2986) module 43, x -5.7325, y -4.7725, z 497.982

Track #32, length 11
 54301538 (3441) module 51, x -3.0125, y 27.7325, z 751.531
 52204148 (3333) module 49, x -2.9575, y 26.7425, z 706.531
 50106758 (3218) module 47, x -2.92083, y 25.7342, z 661.531
 48009623 (3102) module 45, x -2.9025, y 24.8175, z 616.531
 45912259 (2990) module 43, x -2.8475, y 22.3975, z 497.982
 43814889 (2869) module 41, x -2.7925, y 20.3075, z 402.473
 41578505 (2749) module 39, x -2.7925, y 18.6575, z 324.463
 39481121 (2626) module 37, x -2.8475, y 17.3375, z 262.469
 37383722 (2507) module 35, x -2.86583, y 16.8058, z 237.469
 35286580 (2381) module 33, x -2.9025, y 16.2925, z 212.469
 33189437 (2244) module 31, x -2.9025, y 15.7975, z 187.469

Track #33, length 7
 54180212 (3446) module 51, x 1.2225, y 12.7725, z 750.469
 52082817 (3337) module 49, x 1.1675, y 12.0575, z 705.469
 49985166 (3223) module 47, x 1.0575, y 11.3425, z 660.469
 47887771 (3109) module 45, x 1.0025, y 10.6275, z 615.469
 45789630 (2999) module 43, x 0.809998, y 8.7025, z 496.921
 43691995 (2878) module 41, x 0.672501, y 7.1075, z 401.411
 41594098 (2755) module 39, x  0.535, y 5.8425, z 324.463

Track #34, length 4
 54188263 (3449) module 51, x 2.9275, y 6.4475, z 750.469
 52090349 (3339) module 49, x 2.7625, y 6.1175, z 705.469
 49992691 (3225) module 47, x 2.6525, y 5.7875, z 660.469
 47894777 (3111) module 45, x 2.4875, y 5.4575, z 615.469

Track #35, length 6
 54040331 (3391) module 51, x -29.0275, y  18.52, z 750.469
 51950113 (3286) module 49, x -27.515, y 17.3375, z 705.469
 49859637 (3175) module 47, x -26.1125, y  16.21, z 660.469
 47768393 (3064) module 45, x -24.82, y 15.1375, z 615.469
 45686138 (2956) module 43, x -21.5475, y 12.4425, z 496.921
 43602592 (2836) module 41, x -18.6325, y 10.3525, z 401.411

Track #36, length 14
