Track #0, length 13
 45743945 (1593) module 43, x  -9.09, y 15.1375, z 496.921
 43653236 (1523) module 41, x -7.6325, y 12.7725, z 401.411
 41561239 (1449) module 39, x -6.5325, y 10.8475, z 324.463
 39468467 (1372) module 37, x -5.5975, y 9.3075, z 262.469
 37372862 (1294) module 35, x  -5.24, y 8.7025, z 237.469
 35277513 (1220) module 33, x -4.8825, y 8.0975, z 212.469
 33182164 (1141) module 31, x -4.4975, y  7.465, z 187.469
 31086816 (1054) module 29, x -4.1125, y 6.8325, z 162.469
 28991211 (967) module 27, x -3.7825, y 6.2275, z 137.469
 26895862 (880) module 25, x -3.3975, y 5.6225, z 112.469

Track #19, length 6
 53501358 (1887) module 51, x -9.555, y -0.0425, z 751.531
 51404216 (1811) module 49, x -9.0325, y -0.0425, z 706.531
 49307073 (1739) module 47, x -8.5375, y -0.0425, z 661.531
 47209930 (1668) module 45, x -8.0425, y -0.0425, z 616.531
 45112802 (1598) module 43, x -6.7225, y -0.0425, z 497.982
 43015669 (1528) module 41, x  -5.65, y -0.0425, z 402.473

Track #20, length 9
 54132519 (1888) module 51, x  -9.09, y  16.98, z 750.469
 52037434 (1812) module 49, x  -8.54, y 15.9625, z 705.469
 49942861 (1740) module 47, x  -7.99, y 14.9175, z 660.469
 47848544 (1669) module 45, x -7.4125, y 13.8725, z 615.469
 45758097 (1601) module 43, x -5.9825, y 11.1775, z 496.921
 43666617 (1530) module 41, x -4.7725, y 8.9775, z 401.411
 41573849 (1454) module 39, x -3.8375, y 7.2175, z 324.463
 39480307 (1374) module 37, x -3.0675, y 5.7875, z 262.469
 37384445 (1296) module 35, x -2.7925, y 5.2375, z 237.469

Track #21, length 6
 53498046 (1889) module 51, x -8.675, y 0.6725, z 751.531
 51400902 (1813) module 49, x -8.235, y 0.6725, z 706.531
 49303758 (1741) module 47, x -7.795, y 0.6725, z 661.531
 47206615 (1670) module 45, x -7.3275, y 0.6725, z 616.531
 45109741 (1600) module 43, x -6.1175, y   0.59, z 497.982
 43013118 (1529) module 41, x -5.1825, y 0.5075, z 402.473

Track #22, length 5
 53483712 (1890) module 51, x -8.5925, y  3.725, z 751.531
 51387851 (1814) module 49, x -7.9875, y 3.4775, z 706.531
 49291989 (1742) module 47, x  -7.41, y 3.2025, z 661.531
 47195872 (1671) module 45, x -6.8325, y 2.9825, z 616.531
 45101819 (1602) module 43, x -5.3475, y  2.295, z 497.982

Track #23, length 5
 53486279 (1891) module 51, x -8.2075, y 3.2025, z 751.531
 51389647 (1815) module 49, x -7.7675, y 3.0925, z 706.531
 49293272 (1743) module 47, x -7.2725, y 2.9275, z 661.531
 47196897 (1672) module 45, x -6.7775, y 2.7625, z 616.531
 45101819 (1602) module 43, x -5.3475, y  2.295, z 497.982

Track #24, length 10
 53626060 (1892) module 51, x -7.905, y -27.0475, z 751.531
 51520470 (1816) module 49, x -7.3825, y -25.2325, z 706.531
 49415135 (1744) module 47, x -6.8875, y -23.4725, z 661.531
 47310312 (1673) module 45, x -6.3925, y -21.7125, z 616.531
 44760111 (1540) module 42, x -4.9075, y -16.5675, z 484.921
 42657907 (1465) module 40, x -3.8075, y -12.8275, z 389.411
 40556713 (1386) module 38, x -2.9275, y  -9.83, z 312.463
 38456277 (1308) module 36, x -2.2125, y  -7.41, z 250.469
 36357607 (1233) module 34, x -1.8825, y -6.4475, z 225.469
 34259193 (1152) module 32, x -1.6075, y -5.4575, z 200.469

Track #25, length 4
 53477854 (1897) module 51, x -6.92417, y 4.98083, z 751.531
 51381989 (1817) module 49, x -6.5575, y 4.7425, z 706.531
 49286123 (1745) module 47, x   -6.2, y 4.4675, z 661.531
 47190258 (1674) module 45, x -5.8425, y 4.1925, z 616.531

Track #26, length 9
 54142496 (1898) module 51, x -6.8625, y 17.3925, z 750.469
 52047155 (1818) module 49, x  -6.45, y 16.3475, z 705.469
 49952069 (1746) module 47, x -6.0375, y 15.3575, z 660.469
 47856728 (1675) module 45, x -5.6525, y 14.3125, z 615.469
 45764489 (1603) module 43, x  -4.58, y 11.6175, z 496.921
 43671473 (1531) module 41, x -3.7275, y   9.39, z 401.411
 41577683 (1455) module 39, x -3.0125, y 7.5475, z 324.463
 39483374 (1375) module 37, x -2.4075, y 6.0625, z 262.469
 37387257 (1297) module 35, x  -2.16, y 5.4575, z 237.469

