Track #0, length 13
 47225331 (2541) module 45, x -5.7875, y -3.3425, z 616.531

Track #25, length 10
 54317020 (2869) module 51, x  -6.34, y 21.0225, z 751.531
 52218355 (2762) module 49, x -5.9825, y  19.73, z 706.531
 49954061 (2651) module 47, x  -5.57, y 18.4375, z 660.469
 47858724 (2542) module 45, x -5.2125, y 17.145, z 615.469
 45766497 (2429) module 43, x -4.1675, y  13.79, z 496.921
 43672979 (2323) module 41, x  -3.37, y 11.0675, z 401.411
 41578938 (2212) module 39, x -2.7375, y  8.895, z 324.463
 39484379 (2097) module 37, x -2.1875, y 7.1075, z 262.469
 37388263 (1974) module 35, x -1.9675, y   6.42, z 237.469
 35292148 (1850) module 33, x -1.7475, y  5.705, z 212.469

Track #26, length 4
 54147695 (2870) module 51, x -5.7625, y 13.0475, z 750.469
 52054396 (2765) module 49, x -4.9375, y 12.3325, z 705.469
 49961097 (2653) module 47, x -4.1125, y 11.6175, z 660.469
 47867543 (2543) module 45, x -3.3425, y 10.8475, z 615.469

Track #27, length 4
 54155115 (2872) module 51, x  -4.14, y 13.2675, z 750.469
 52059513 (2766) module 49, x -3.8375, y 12.4975, z 705.469
 49963911 (2654) module 47, x -3.5075, y 11.7275, z 660.469
 47868565 (2544) module 45, x -3.1225, y 10.9575, z 615.469

Track #28, length 11
 54302607 (2873) module 51, x -3.2325, y 25.2575, z 751.531
 52204459 (2767) module 49, x -3.0125, y 23.7175, z 706.531
 50106311 (2655) module 47, x  -2.82, y 22.1775, z 661.531
 48008419 (2546) module 45, x -2.6275, y 20.6375, z 616.531
 45776175 (2433) module 43, x -2.0775, y  16.54, z 496.921
 43680875 (2327) module 41, x -1.6925, y 13.2675, z 401.411
 41585307 (2217) module 39, x -1.3625, y 10.6275, z 324.463
 39489474 (2101) module 37, x -1.0875, y 8.4825, z 262.469
 37392849 (1978) module 35, x -0.977501, y 7.6575, z 237.469
 35296224 (1854) module 33, x -0.8675, y  6.805, z 212.469
 33199600 (1732) module 31, x -0.7575, y 5.9525, z 187.469

Track #29, length 4
 54160095 (2874) module 51, x -3.1225, y 6.8875, z 750.469
 52063718 (2768) module 49, x -2.9575, y 6.5025, z 705.469
 49967341 (2656) module 47, x -2.7925, y 6.1175, z 660.469
 47870965 (2545) module 45, x -2.6275, y 5.6775, z 615.469

Track #30, length 5
 54169800 (2875) module 51, x -1.0325, y  8.125, z 750.469
 52073161 (2769) module 49, x -0.922501, y 8.0975, z 705.469
 49976521 (2657) module 47, x -0.785, y   8.07, z 660.469
 47880138 (2547) module 45, x -0.647499, y 8.0425, z 615.469
 45784524 (2434) module 43, x -0.317501, y 7.9325, z 496.921

Track #31, length 5
 54171709 (2876) module 51, x -0.574169, y 15.7608, z 750.469
 52075089 (2770) module 49, x -0.482502, y 14.6975, z 705.469
 49978212 (2658) module 47, x -0.427502, y 13.6525, z 660.469
 47881335 (2548) module 45, x -0.372501, y  12.58, z 615.469
 45784747 (2435) module 43, x -0.235001, y 9.7475, z 496.921

Track #32, length 5
 54173371 (2877) module 51, x -0.262501, y   8.84, z 750.469
 52076229 (2771) module 49, x -0.235001, y 8.3175, z 705.469
 49979343 (2659) module 47, x -0.2075, y 7.7675, z 660.469
 47882200 (2549) module 45, x -0.2075, y  7.245, z 615.469
 45785329 (2436) module 43, x -0.1525, y 5.8975, z 496.921

Track #33, length 5
 54173902 (2878) module 51, x -0.1525, y 7.8225, z 750.469
 52076758 (2772) module 49, x -0.1525, y 7.3825, z 705.469
 49979614 (2660) module 47, x -0.1525, y 6.9425, z 660.469
 47882470 (2550) module 45, x -0.1525, y  6.475, z 615.469
 45785596 (2437) module 43, x -0.0974998, y 5.2925, z 496.921

Track #34, length 8
 54176835 (2879) module 51, x  0.535, y 15.4675, z 750.469
 52079700 (2773) module 49, x 0.5075, y 14.5325, z 705.469
 49982308 (2661) module 47, x 0.452499, y 13.625, z 660.469
 47885173 (2551) module 45, x 0.452499, y  12.69, z 615.469
 45787554 (2438) module 43, x 0.342499, y 10.2425, z 496.921
 43690182 (2330) module 41, x 0.287498, y 8.2625, z 401.411
 41592802 (2218) module 39, x 0.232498, y  6.695, z 324.463
 39495418 (2104) module 37, x 0.177498, y 5.4025, z 262.469

Track #35, length 11
 54277315 (2880) module 51, x 2.2125, y 22.3975, z 751.531
 52180442 (2775) module 49, x   2.13, y 21.1325, z 706.531
 50083825 (2662) module 47, x 2.0475, y  19.84, z 661.531
 47891980 (2553) module 45, x  1.965, y 18.4925, z 615.469
 45793611 (2440) module 43, x   1.69, y 15.0275, z 496.921
