Track #0, length 12
 45933555 (1993) module 43, x -7.4125, y 19.7575, z 497.982
 43661374 (1904) module 41, x -5.8725, y 15.7425, z 401.411
 41569913 (1805) module 39, x -4.6625, y 12.4975, z 324.463
 39477159 (1701) module 37, x -3.7275, y   9.94, z 262.469
 37381818 (1603) module 35, x -3.3425, y  8.895, z 237.469
 35286477 (1511) module 33, x -2.93917, y 7.85917, z 212.469
 33191136 (1417) module 31, x -2.545, y 6.8325, z 187.469
 31096051 (1326) module 29, x -2.1325, y 5.7875, z 162.469

Track #19, length 6
 53515165 (2332) module 51, x -10.5175, y  -3.04, z 751.531
 51417257 (2249) module 49, x -9.8575, y -2.8475, z 706.531
 49319093 (2164) module 47, x -9.1975, y -2.655, z 661.531
 47221185 (2086) module 45, x -8.5375, y -2.4625, z 616.531
 45121761 (1995) module 43, x -6.7775, y -1.9675, z 497.982
 43022843 (1906) module 41, x -5.3475, y -1.5825, z 402.473

Track #20, length 5
 53489068 (2333) module 51, x -9.6925, y 2.5975, z 751.531
 51392695 (2250) module 49, x  -9.06, y 2.4325, z 706.531
 49296323 (2165) module 47, x -8.4275, y 2.2675, z 661.531
 47199950 (2087) module 45, x -7.8225, y 2.1025, z 616.531
 45104876 (1996) module 43, x -6.1725, y 1.6625, z 497.982

Track #21, length 11
 54329401 (2334) module 51, x  -9.09, y 29.9875, z 751.531
 52229980 (2251) module 49, x -8.5125, y 28.0625, z 706.531
 50130303 (2166) module 47, x -7.9625, y 26.1375, z 661.531
 48030370 (2088) module 45, x -7.3575, y 24.2125, z 616.531
 45758464 (2000) module 43, x -5.83583, y 19.1342, z 496.921
 43667275 (1908) module 41, x -4.6075, y 15.0275, z 401.411
 41574790 (1807) module 39, x -3.6175, y 11.755, z 324.463
 39481527 (1703) module 37, x -2.7925, y 9.0875, z 262.469
 37385931 (1605) module 35, x -2.4625, y 7.9875, z 237.469
 35290334 (1512) module 33, x -2.1325, y 6.9425, z 212.469
 33194738 (1418) module 31, x -1.8025, y 5.8425, z 187.469

Track #22, length 7
 53554113 (2335) module 51, x -8.5375, y -11.4825, z 751.531
 51454153 (2252) module 49, x -8.0975, y -10.8775, z 706.531
 49354194 (2167) module 47, x -7.6025, y -10.2725, z 661.531
 47253978 (2089) module 45, x -7.1625, y  -9.64, z 616.531
 45149935 (1998) module 43, x -6.0075, y -8.0175, z 497.982
 43046655 (1907) module 41, x -5.1275, y -6.6975, z 402.473
 42663654 (1817) module 40, x -5.0175, y -6.5025, z 389.411

Track #23, length 7
 53550276 (2336) module 51, x -8.3725, y -10.6575, z 751.531
 51450827 (2253) module 49, x -7.9875, y -10.1625, z 706.531
 49351378 (2168) module 47, x -7.6025, y -9.695, z 661.531
 47252186 (2090) module 45, x -7.135, y -9.2275, z 616.531
 45149935 (1998) module 43, x -6.0075, y -8.0175, z 497.982
 43046655 (1907) module 41, x -5.1275, y -6.6975, z 402.473
 42663654 (1817) module 40, x -5.0175, y -6.5025, z 389.411

Track #24, length 11
 54324165 (2337) module 51, x -7.8525, y 22.2875, z 751.531
 52224734 (2254) module 49, x -7.3575, y 20.9125, z 706.531
 50125303 (2169) module 47, x -6.8625, y 19.5375, z 661.531
 47853330 (2091) module 45, x -6.3675, y 18.1625, z 615.469
 45762131 (2002) module 43, x -5.1025, y 14.5875, z 496.921
 43669896 (1910) module 41, x -4.0575, y 11.6725, z 401.411
 41576626 (1810) module 39, x -3.2325, y  9.335, z 324.463
 39482581 (1704) module 37, x -2.5725, y 7.4375, z 262.469
 37386723 (1607) module 35, x -2.2975, y 6.6675, z 237.469
 35290608 (1513) module 33, x -2.0775, y  5.925, z 212.469
 33194750 (1419) module 31, x -1.8025, y 5.1825, z 187.469

Track #25, length 6
 54322871 (2338) module 51, x -7.5775, y 23.0575, z 751.531
 52223442 (2255) module 49, x  -7.11, y 21.5725, z 706.531
 50124268 (2171) module 47, x -6.6425, y 20.1425, z 661.531
 47854090 (2093) module 45, x -6.2025, y 18.6025, z 615.469
 45762131 (2002) module 43, x -5.1025, y 14.5875, z 496.921
 43667854 (1909) module 41, x -4.4975, y 11.3425, z 401.411

Track #26, length 14
 54139652 (2339) module 51, x -7.4675, y 18.905, z 750.469
 52044310 (2256) module 49, x -7.0825, y 17.9425, z 705.469
 49948968 (2170) module 47, x -6.6975, y 16.9525, z 660.469
 47853625 (2092) module 45, x -6.3125, y  15.99, z 615.469
 45761128 (2001) module 43, x -5.3225, y 13.4325, z 496.921
 43667854 (1909) module 41, x -4.4975, y 11.3425, z 401.411
 41573548 (1806) module 39, x -3.8925, y 9.6925, z 324.463
 39478979 (1702) module 37, x -3.3425, y    8.4, z 262.469
