Track #0, length 13
 46174654 (1286) module 44, x 8.7025, y 2.9025, z 604.531
 44074719 (1216) module 42, x   6.86, y 2.2975, z 485.982
 41975290 (1149) module 40, x 5.4025, y 1.8025, z 390.473

Track #42, length 6
 52469128 (1509) module 50, x 11.6725, y 3.5625, z 739.531
 50370964 (1438) module 48, x 10.985, y 3.3425, z 694.531
 48272801 (1364) module 46, x 10.2975, y 3.1225, z 649.531
 46174638 (1289) module 44, x 9.5825, y 2.9025, z 604.531
 44074960 (1218) module 42, x 7.7125, y 2.3525, z 485.982
 41975787 (1151) module 40, x 6.2275, y 1.9125, z 390.473

Track #43, length 6
 52497288 (1510) module 50, x 11.6725, y 9.7225, z 739.531
 50397333 (1437) module 48, x 10.9575, y   9.09, z 694.531
 48297635 (1363) module 46, x 10.1875, y 8.4575, z 649.531
 46197424 (1288) module 44, x  9.445, y 7.7975, z 604.531
 44092628 (1217) module 42, x  7.465, y 6.1475, z 485.982
 41989106 (1150) module 40, x 5.8425, y 4.7725, z 390.473

Track #44, length 4
 52437883 (1511) module 50, x 12.3875, y -3.1475, z 739.531
 50340999 (1439) module 48, x 11.7275, y -3.0925, z 694.531
 48244370 (1366) module 46, x 11.1225, y -2.9825, z 649.531
 46147485 (1291) module 44, x 10.5175, y   -2.9, z 604.531

Track #45, length 6
 52436346 (1512) module 50, x 12.4425, y  -3.45, z 739.531
 50340229 (1441) module 48, x  11.81, y -3.2575, z 694.531
 48243857 (1367) module 46, x 11.1775, y -3.0925, z 649.531
 46147485 (1291) module 44, x 10.5175, y   -2.9, z 604.531
 41960155 (1154) module 40, x 7.1075, y -1.4425, z 390.473
 39865328 (1082) module 38, x  5.925, y -0.9475, z 313.525

Track #46, length 7
 52442232 (1513) module 50, x 12.5525, y -2.185, z 739.531
 50346630 (1440) module 48, x 11.7825, y -1.8825, z 694.531
 48250771 (1365) module 46, x 11.0675, y  -1.58, z 649.531
 46155169 (1290) module 44, x 10.2975, y -1.2775, z 604.531
 44061124 (1220) module 42, x 8.3725, y -0.6175, z 485.982
 41966561 (1153) module 40, x 6.7775, y -0.0675001, z 390.473
 39871480 (1081) module 38, x 5.5125, y 0.3725, z 313.525

Track #47, length 6
 52523886 (1514) module 50, x 13.1025, y 15.4425, z 739.531
 50422142 (1442) module 48, x 12.2225, y 14.4525, z 694.531
 48320141 (1368) module 46, x 11.3975, y 13.4075, z 649.531
 46218397 (1292) module 44, x 10.5175, y 12.4175, z 604.531
 44108997 (1219) module 42, x 8.3175, y 9.7775, z 485.982
 42002406 (1152) module 40, x 6.5025, y 7.6325, z 390.473

Track #48, length 7
 52442727 (1515) module 50, x  13.46, y -2.1025, z 739.531
 50346103 (1443) module 48, x 12.6075, y -1.9925, z 694.531
 48249478 (1369) module 46, x 11.7825, y -1.8825, z 649.531
 46152853 (1293) module 44, x 10.9575, y -1.7725, z 604.531
 44057275 (1221) module 42, x   8.84, y -1.4425, z 485.982
 41961433 (1155) module 40, x 7.2175, y -1.1675, z 390.473
 39865328 (1082) module 38, x  5.925, y -0.9475, z 313.525

Track #49, length 8
 52448353 (1516) module 50, x 13.8175, y -0.8925, z 739.531
 50351471 (1444) module 48, x 13.0475, y -0.8375, z 694.531
 48254589 (1370) module 46, x  12.25, y -0.7825, z 649.531
 46157708 (1295) module 44, x 11.4525, y -0.7275, z 604.531
 44061362 (1223) module 42, x 9.3625, y -0.5625, z 485.982
 41964753 (1156) module 40, x 7.6575, y -0.4525, z 390.473
 39868137 (1084) module 38, x   6.31, y -0.3425, z 313.525
 37771261 (1020) module 36, x 5.2375, y -0.2875, z 251.531

Track #50, length 7
 52439130 (1517) module 50, x 14.2025, y -2.8725, z 739.531
