Track #0, length 12
 52088191 (1948) module 49, x 2.3225, y 12.1675, z 705.469
 49990286 (1887) module 47, x 2.1575, y 11.3425, z 660.469
 47892636 (1823) module 45, x 2.0475, y 10.545, z 615.469
 45793475 (1758) module 43, x 1.6075, y    8.4, z 496.921
 43694819 (1677) module 41, x 1.2775, y 6.6675, z 401.411
 41596412 (1594) module 39, x   1.03, y 5.2925, z 324.463

Track #20, length 11
 52565997 (1955) module 50, x 6.1175, y 24.5725, z 739.531
 50462196 (1893) module 48, x 5.7325, y  23.06, z 694.531
 48358139 (1830) module 46, x 5.3475, y 21.5475, z 649.531
 47972838 (1824) module 45, x 5.0175, y 20.4725, z 616.531
 45804338 (1759) module 43, x      4, y 16.4025, z 496.921
 43703661 (1679) module 41, x 3.2025, y 13.1575, z 401.411
 41603485 (1595) module 39, x 2.5425, y 10.5175, z 324.463
 39504067 (1510) module 37, x 2.0475, y 8.4275, z 262.469
 37405906 (1426) module 35, x 1.8275, y  7.575, z 237.469
 35307746 (1340) module 33, x 1.6075, y 6.7225, z 212.469
 33209841 (1251) module 31, x 1.4425, y 5.8975, z 187.469

Track #21, length 7
 53149029 (1949) module 50, x  -4.99, y -13.5975, z 738.469
 51050613 (1888) module 48, x -4.6875, y -12.7175, z 693.469
 48951941 (1825) module 46, x -4.385, y -11.8375, z 648.469
 46853269 (1761) module 44, x -4.055, y -10.9575, z 603.469
 44752319 (1681) module 42, x -3.2025, y -8.6475, z 484.921
 42652129 (1600) module 40, x -2.5425, y -6.7775, z 389.411
 40552444 (1518) module 38, x -1.9925, y -5.2925, z 312.463

Track #22, length 5
 53138862 (1950) module 50, x  -2.79, y -9.5825, z 738.469
 51040953 (1889) module 48, x -2.5975, y -8.9775, z 693.469
 48942788 (1826) module 46, x -2.3775, y -8.345, z 648.469
 46844880 (1762) module 44, x -2.2125, y -7.7125, z 603.469
 44745453 (1682) module 42, x -1.7175, y -6.1175, z 484.921

Track #23, length 6
 53111710 (1952) module 50, x 3.0675, y -10.4625, z 738.469
 51015594 (1890) module 48, x 2.8475, y -9.8025, z 693.469
 48919223 (1827) module 46, x  2.655, y -9.0875, z 648.469
 46823107 (1764) module 44, x 2.4625, y -8.4275, z 603.469
 44728291 (1684) module 42, x 1.9675, y -6.6675, z 484.921
 42633213 (1602) module 40, x 1.5275, y -5.2375, z 389.411

Track #24, length 5
 53104064 (1953) module 50, x 4.7175, y -8.565, z 738.469
 51008202 (1891) module 48, x  4.415, y -8.0425, z 693.469
 48912596 (1828) module 46, x 4.1125, y -7.4925, z 648.469
 46816733 (1765) module 44, x 3.8375, y  -6.97, z 603.469
 44723191 (1685) module 42, x 3.0675, y -5.5675, z 484.921

Track #25, length 12
 53262939 (1954) module 50, x 5.1575, y -28.09, z 739.531
 51164539 (1892) module 48, x 4.8825, y -26.3575, z 694.531
 49066138 (1829) module 46, x 4.6075, y -24.625, z 649.531
 46967482 (1766) module 44, x 4.2775, y -22.8925, z 604.531
 44720912 (1686) module 42, x 3.5075, y -18.2725, z 484.921
 42626899 (1603) module 40, x 2.8475, y -14.5875, z 389.411
 40532105 (1520) module 38, x 2.3525, y -11.59, z 312.463
 38437045 (1435) module 36, x  1.885, y  -9.17, z 250.469
 36340935 (1351) module 34, x 1.6925, y -8.2075, z 225.469
 34244568 (1263) module 32, x    1.5, y -7.245, z 200.469
 32148458 (1175) module 30, x 1.3075, y -6.2825, z 175.469
 30052347 (1096) module 28, x 1.0875, y  -5.32, z 150.469

Track #26, length 5
 53085884 (1956) module 50, x 8.6225, y -8.8125, z 738.469
 50991046 (1894) module 48, x 8.1275, y -8.2625, z 693.469
 48896464 (1831) module 46, x 7.5775, y -7.7125, z 648.469
 46801626 (1767) module 44, x 7.0825, y -7.1625, z 603.469
 44710644 (1687) module 42, x  5.735, y -5.7325, z 484.921

Track #27, length 6
 53079942 (1957) module 50, x   9.97, y -11.7825, z 738.469
 50985876 (1895) module 48, x 9.3375, y -11.0125, z 693.469
 48891042 (1832) module 46, x 8.7325, y -10.2425, z 648.469
 46796720 (1769) module 44, x 8.1275, y -9.4725, z 603.469
 44707028 (1690) module 42, x 6.5325, y -7.4925, z 484.921
 42615793 (1605) module 40, x 5.2675, y -5.8975, z 389.411

Track #28, length 9
 52575385 (1958) module 50, x 10.7375, y 26.6075, z 739.531
 50469543 (1896) module 48, x   9.94, y 24.7375, z 694.531
 48364214 (1834) module 46, x 9.1425, y 22.8675, z 649.531
 46258628 (1770) module 44, x 8.3725, y 21.0525, z 604.531
 44138729 (1688) module 42, x 6.3375, y 16.1575, z 485.982
 43712117 (1680) module 41, x 5.0175, y 12.7175, z 401.411
 41609134 (1596) module 39, x 3.7525, y 9.5825, z 324.463
 39507165 (1511) module 37, x 2.7075, y 6.9975, z 262.469
 37408239 (1427) module 35, x 2.3225, y   5.98, z 237.469

Track #29, length 4
 52526737 (1959) module 50, x 11.1775, y 16.0475, z 739.531
 50426519 (1898) module 48, x 10.8475, y 15.415, z 694.531
 48326300 (1838) module 46, x 10.5725, y 14.7275, z 649.531
 46225825 (1773) module 44, x 10.2975, y 14.0125, z 604.531

Track #30, length 7
 52541322 (1960) module 50, x 11.5442, y 19.2008, z 739.531
 50438563 (1897) module 48, x 10.1875, y 17.9725, z 694.531
 48335547 (1833) module 46, x 8.8675, y 16.735, z 649.531
 46232787 (1768) module 44, x   7.52, y 15.4975, z 604.531
 45805688 (1760) module 43, x  4.275, y 12.5525, z 496.921
 43695017 (1678) module 41, x   1.36, y 9.8575, z 401.411
 41586895 (1591) module 39, x -0.995834, y 7.73083, z 324.463

Track #31, length 13
 52597641 (1961) module 50, x 11.6175, y 31.3925, z 739.531
 50491799 (1899) module 48, x 10.8475, y 29.5225, z 694.531
 48385701 (1836) module 46, x 10.0775, y 27.5975, z 649.531
 46279602 (1771) module 44, x 9.3625, y 25.6725, z 604.531
 44159188 (1692) module 42, x 7.4925, y 20.585, z 485.982
 42043629 (1607) module 40, x 6.1175, y 16.5975, z 390.473
 39513999 (1514) module 37, x 4.1925, y 11.2875, z 262.469
 37415074 (1431) module 35, x 3.8075, y 10.2425, z 237.469
 35316149 (1345) module 33, x 3.4225, y 9.1975, z 212.469
 33217223 (1255) module 31, x 3.0375, y   8.18, z 187.469
 31118298 (1166) module 29, x 2.6525, y 7.1625, z 162.469
 29019373 (1086) module 27, x 2.2675, y 6.1175, z 137.469
 26920702 (1006) module 25, x 1.9375, y  5.155, z 112.469

Track #32, length 6
 52436857 (1962) module 50, x 12.4975, y -3.3675, z 739.531
 50340746 (1901) module 48, x 11.535, y -3.1475, z 694.531
 48244636 (1837) module 46, x 10.5725, y -2.9275, z 649.531
 46148268 (1772) module 44, x 9.6925, y -2.7625, z 604.531
 44052943 (1693) module 42, x   7.74, y -2.3775, z 485.982
 41957356 (1608) module 40, x  6.145, y -2.0475, z 390.473

Track #33, length 7
 52472179 (1963) module 50, x 12.8275, y 4.2225, z 739.531
 50373761 (1902) module 48, x 12.0575, y 3.9475, z 694.531
 48275599 (1840) module 46, x 11.2875, y 3.7275, z 649.531
 46177181 (1776) module 44, x 10.5175, y 3.4525, z 604.531
 44076994 (1697) module 42, x 8.4825, y 2.7925, z 485.982
 41977311 (1613) module 40, x 6.8875, y 2.2425, z 390.473
 39878135 (1526) module 38, x 5.5675, y   1.83, z 313.525

Track #34, length 7
 53064312 (1964) module 50, x 13.3525, y -12.5525, z 738.469
 50971015 (1903) module 48, x   12.5, y -11.7275, z 693.469
 48877974 (1842) module 46, x 11.6475, y -10.9025, z 648.469
 46784677 (1777) module 44, x 10.8225, y -10.0775, z 603.469
 44697547 (1698) module 42, x 8.5675, y  -7.96, z 484.921
 42608875 (1612) module 40, x 6.7525, y -6.2275, z 389.411
 39847163 (1524) module 38, x 5.3475, y -4.8525, z 313.525

Track #35, length 7
 52432739 (1966) module 50, x 13.7075, y -4.2475, z 739.531
 50336627 (1905) module 48, x 12.8275, y -4.0275, z 694.531
 48240514 (1844) module 46, x 11.975, y -3.8075, z 649.531
 46144402 (1778) module 44, x 11.095, y -3.5875, z 604.531
 44050108 (1699) module 42, x 8.8125, y -2.9825, z 485.982
 41955038 (1614) module 40, x 6.9425, y -2.515, z 390.473
 39859705 (1525) module 38, x 5.4575, y -2.1575, z 313.525

Track #36, length 8
 53053309 (1969) module 50, x  15.69, y -12.25, z 738.469
 50960779 (1908) module 48, x 14.7275, y -11.5075, z 693.469
 48867992 (1846) module 46, x 13.7925, y -10.7925, z 648.469
 46775205 (1781) module 44, x 12.8575, y -10.0775, z 603.469
 44689609 (1701) module 42, x 10.3825, y -8.0975, z 484.921
 42601189 (1616) module 40, x 8.4025, y -6.5575, z 389.411
 40511484 (1528) module 38, x 6.8075, y -5.2925, z 312.463
 37752567 (1438) module 36, x   5.54, y -4.3025, z 251.531

Track #37, length 12
 53311518 (1970) module 50, x 15.7175, y -31.4725, z 739.531
 51209793 (1907) module 48, x 14.7275, y -29.5475, z 694.531
 49108068 (1845) module 46, x 13.7375, y -27.595, z 649.531
 47006344 (1780) module 44, x 12.7475, y -25.615, z 604.531
 44897000 (1700) module 42, x 10.1075, y -20.3625, z 485.982
 42603064 (1615) module 40, x  7.935, y -16.0725, z 389.411
 40514167 (1527) module 38, x 6.2025, y -12.6075, z 312.463
 38423465 (1437) module 36, x 4.8275, y  -9.83, z 250.469
 36328894 (1353) module 34, x 4.2775, y -8.7025, z 225.469
 34234323 (1266) module 32, x 3.7275, y -7.5475, z 200.469
 32139751 (1178) module 30, x 3.1775, y  -6.42, z 175.469
 30045180 (1099) module 28, x 2.6275, y -5.2925, z 150.469

Track #38, length 6
 52430641 (1971) module 50, x  16.43, y  -4.66, z 739.531
 50334788 (1909) module 48, x 15.4125, y -4.385, z 694.531
 48239190 (1847) module 46, x 14.395, y -4.055, z 649.531
 46143337 (1782) module 44, x 13.3775, y  -3.78, z 604.531
 44049817 (1702) module 42, x  10.71, y -3.0375, z 485.982
 39862491 (1529) module 38, x 7.1075, y -1.5525, z 313.525

Track #39, length 9
 52436271 (1972) module 50, x  16.54, y -3.4775, z 739.531
 50340162 (1910) module 48, x 15.5225, y -3.2575, z 694.531
 48244052 (1848) module 46, x 14.505, y -3.0375, z 649.531
 46147943 (1783) module 44, x 13.4875, y -2.8175, z 604.531
 44053399 (1703) module 42, x 10.8475, y -2.2675, z 485.982
 41958077 (1617) module 40, x 8.7575, y -1.8825, z 390.473
 39862491 (1529) module 38, x 7.1075, y -1.5525, z 313.525
 37766387 (1439) module 36, x 5.7875, y -1.3325, z 251.531
 35669757 (1356) module 34, x 5.2375, y -1.2225, z 226.531

Track #40, length 11
 53322359 (1973) module 50, x 18.0275, y -26.55, z 739.531
 51219861 (1911) module 48, x   16.9, y -24.9275, z 694.531
 49117619 (1849) module 46, x 15.7725, y -23.2775, z 649.531
 47015377 (1784) module 44, x 14.6725, y -21.6275, z 604.531
 44683298 (1705) module 42, x 11.7025, y -17.2825, z 484.921
 42596962 (1618) module 40, x 9.3925, y -13.7625, z 389.411
 40508053 (1531) module 38, x 7.5225, y -10.9575, z 312.463
 38417854 (1441) module 36, x   6.01, y -8.7025, z 250.469
 36323791 (1357) module 34, x 5.3775, y -7.7675, z 225.469
