Track #0, length 7
 42999779 (2044) module 41, x -6.6675, y 3.3675, z 402.473
 40906239 (1940) module 39, x -5.1275, y 2.5975, z 325.525

Track #15, length 5
 54348408 (2538) module 51, x -13.1875, y 26.5225, z 751.531
 52235423 (2448) module 49, x -9.7775, y 24.3775, z 706.531
 50122693 (2357) module 47, x -6.34917, y 22.2508, z 661.531
 48009709 (2261) module 45, x  -2.93, y 20.0875, z 616.531
 44127709 (2089) module 42, x   6.97, y 13.7925, z 485.982

Track #16, length 11
 53613468 (2539) module 51, x -10.5725, y -24.3525, z 751.531
 51509928 (2447) module 49, x -9.9125, y -22.8675, z 706.531
 49405875 (2347) module 47, x -9.3075, y -21.3825, z 661.531
 47301823 (2242) module 45, x -8.6475, y -19.8975, z 616.531
 45186525 (2146) module 43, x -6.9975, y -15.9925, z 497.982
 43074806 (2047) module 41, x -5.6225, y -12.8575, z 402.473
 40563368 (1854) module 38, x -4.3575, y -9.9125, z 312.463
 38462157 (1740) module 36, x -3.4775, y -7.8775, z 250.469
 36363228 (1635) module 34, x -3.0925, y -7.0525, z 225.469
 34264299 (1526) module 32, x -2.735, y -6.2275, z 200.469
 32165626 (1418) module 30, x -2.3775, y -5.4025, z 175.469

Track #17, length 6
 53489572 (2540) module 51, x -10.1325, y 2.4875, z 751.531
 51393199 (2449) module 49, x -9.5275, y 2.3225, z 706.531
 49296826 (2349) module 47, x -8.9225, y 2.1575, z 661.531
 47200453 (2244) module 45, x -8.3175, y 1.9925, z 616.531
 45105122 (2148) module 43, x -6.7225, y 1.6075, z 497.982
 43009530 (2049) module 41, x -5.4025, y 1.2775, z 402.473

Track #18, length 5
 53514427 (2542) module 51, x -8.8675, y -2.8475, z 751.531
 51416518 (2453) module 49, x -8.2625, y -2.6825, z 706.531
 49318353 (2353) module 47, x -7.6575, y -2.4625, z 661.531
 47220443 (2249) module 45, x  -7.08, y -2.2975, z 616.531
 45120760 (2155) module 43, x -5.5125, y -1.7475, z 497.982

Track #19, length 5
 53488059 (2543) module 51, x  -8.84, y 2.8175, z 751.531
 51391685 (2452) module 49, x -8.3175, y 2.6525, z 706.531
 49295310 (2351) module 47, x -7.795, y 2.4875, z 661.531
 47198936 (2246) module 45, x -7.2725, y 2.3225, z 616.531
 45103857 (2152) module 43, x -5.8975, y 1.8825, z 497.982

Track #20, length 5
 53508541 (2544) module 51, x -8.7575, y -1.5825, z 751.531
 51410887 (2454) module 49, x -8.2075, y -1.4725, z 706.531
 49313232 (2352) module 47, x -7.7125, y -1.3625, z 661.531
 47215578 (2248) module 45, x -7.1625, y  -1.28, z 616.531
 45117427 (2153) module 43, x -5.7875, y -1.0325, z 497.982

Track #21, length 5
 53485773 (2545) module 51, x -7.8775, y 3.3125, z 751.531
 51389397 (2455) module 49, x  -7.41, y   3.12, z 706.531
 49293278 (2354) module 47, x -6.9425, y 2.9275, z 661.531
 47197159 (2251) module 45, x -6.4475, y 2.7075, z 616.531
 45102333 (2156) module 43, x  -5.21, y  2.185, z 497.982

Track #22, length 8
 53569486 (2546) module 51, x -7.8225, y -14.7825, z 751.531
 51468247 (2456) module 49, x -7.3275, y -13.9025, z 706.531
 49366751 (2355) module 47, x  -6.86, y -12.9675, z 661.531
 47265512 (2252) module 45, x -6.3925, y -12.0875, z 616.531
 45157375 (2157) module 43, x -5.1275, y -9.7225, z 497.982
 44760752 (2066) module 42, x -5.0175, y -9.4725, z 484.921
 42658770 (1963) module 40, x -3.9725, y -7.6025, z 389.411
 40558062 (1856) module 38, x -3.2025, y -6.0625, z 312.463

Track #23, length 8
 53600209 (2547) module 51, x -7.6575, y -21.3825, z 751.531
 51497179 (2457) module 49, x -7.1075, y -20.1175, z 706.531
 49394148 (2356) module 47, x -6.6125, y -18.8525, z 661.531
 47291117 (2253) module 45, x -6.1175, y -17.5875, z 616.531
 44759392 (2067) module 42, x -4.7425, y -13.8725, z 484.921
